Ca,20,4038.1,437.8,350,346.4
Sc,21,4492.8,500.4,406.7,402.2
Ti,22,4966.4,563.7,461.5,455.5
V,23,5465.1,628.2,520.5,512.9
Cr,24,5989.2,694.6,583.7,574.5
Mn,25,6539,769,651.4,640.3
Fe,26,7112,846.1,721.1,708.1
Co,27,7708.9,925.6,793.8,778.6
Ni,28,8332.8,1008.1,871.9,854.7
Cu,29,8978.9,1096.1,951,931.1
Zn,30,9658.6,1193.6,1042.8,1019.7
Ga,31,10367.1,1297.7,1142.3,1115.4
Ge,32,11103.1,1414.3,1247.8,1216.7
As,33,11866.7,1526.5,1358.6,1323.1
Se,34,12657.8,1653.9,1476.2,1435.8
Br,35,13473.7,1782,1596,1549.9
Kr,36,14325.6,1921,1727.2,1674.9
Rb,37,15199.7,2065.1,1863.9,1804.4
Sr,38,16104.6,2216.3,2006.8,1939.6
Y,39,17038.4,2372.5,2155.5,2080
Zr,40,17997.6,2531.6,2306.7,2222.3
Nb,41,18985.6,2697.7,2464.7,2370.5
Mo,42,19999.5,2865.6,2625.1,2520.2
Tc,43,21044,3042.5,2793.2,2676.9
Ru,44,22117.2,3224,2966.9,2837.9
RH,45,23219.9,3411.9,3146.1,3003.8
Pd,46,24350.3,3604.3,3330.3,3173.3
Ag,47,25514,3805.8,3523.7,3351.1
Cd,48,26711.2,4018,3727,3537.5
In,49,27939.9,4237.5,3938,3730.1
Sn,50,29200.1,4464.7,4156.1,3928.8
Sb,51,30491.2,4698.3,4380.4,4132.2
Te,52,31813.8,4939.2,4612,4341.4
I,53,33169.4,5188.1,4852.1,4557.1
Xe,54,34561.4,5452.8,5103.7,4782.2
Cs,55,35984.6,5714.3,5359.4,5011.9
Ba,56,37440.6,5988.8,5623.6,5247
La,57,38924.6,6266.3,5890.6,5482.7
Ce,58,40443,6548.8,6164.2,5723.4
Pr,59,41990.6,6834.8,6440.4,5964.3
Nd,60,43568.9,7126,6721.5,6207.9
Pm,61,45184,7427.9,7012.8,6459.3
Sm,62,46834.2,7736.8,7311.8,6716.2
Eu,63,48519,8052,7617.1,6976.9
Gd,64,50239.1,8375.6,7930.3,7242.8
Tb,65,51995.7,8708,8251.6,7514
Dy,66,53788.5,9045.8,8580.6,7790.1
Ho,67,55617.7,9394.2,8917.8,8071.1
Er,68,57485.5,9751.3,9264.3,8357.9
Tm,69,59389.6,10115.7,9616.9,8648
Yb,70,61332.3,10486.4,9978.2,8943.6
Lu,71,63313.8,10870.4,10348.6,9244.1
Hf,72,65350.8,11270.7,10739.4,9560.7
Ta,73,67416.4,11681.5,11136.1,9881.1
W,74,69525,12099.8,11544,10206.8
Re,75,71676.4,12526.7,11958.7,10535.3
Os,76,73870.8,12968,12385,10870.9
Ir,77,76111,13418.5,12824.1,11215.2
Pt,78,78394.8,13879.9,13272.6,11563.7
Au,79,80724.9,14352.8,13733.6,11918.7
Hg,80,83102.3,14839.3,14208.7,12283.9
Tl,81,85530.4,15346.7,14697.9,12657.5
Pb,82,88004.5,15860.8,15200,13035.2
Bi,83,90525.9,16387.6,15711.1,13418.6
Po,84,93105,16939.3,16244.3,13813.8
At,85,95729.9,17493,16784.7,14213.5
Rn,86,98404,18049,17337.1,14619.4
Fr,87,101137,18639,17906.5,15031.2
Ra,88,103921.9,19236.7,18484.3,15444.4
Ac,89,106755.3,19840,19083.2,15871
TH,90,109650.9,20472.1,19693.2,16300.3
Pa,91,112601.4,21104.6,20313.7,16733.1
U,92,115606.1,21757.4,20947.6,17166.3
NP,93,118678,22426.8,21600.5,17610
Pu,94,121818,23097.2,22266.2,18056.8
Am,95,125027,23772.9,22944,18504.1
Cm,96,128200,24460,23779,18930
Bk,97,131590,25275,24385,19452
Cf,98,135960,26110,25250,19930
Es,99,139490,26900,26020,20410
Fm,100,143090,27700,26810,20900
Md,101,146780,28530,27610,21390
No,102,150540,29380,28440,21880
Lr,103,154380,30240,29280,22360
